ds;y
17-06-2022;93.5699
18-06-2022;93.1885
19-06-2022;93.199
20-06-2022;94.4492
21-06-2022;94.6286
22-06-2022;94.5812
23-06-2022;94.5926
24-06-2022;94.0207
25-06-2022;93.5657
26-06-2022;93.1645
27-06-2022;94.2578
28-06-2022;94.079
29-06-2022;94.6757
30-06-2022;94.6065
01-07-2022;93.8038
02-07-2022;93.2089
03-07-2022;92.9706
04-07-2022;93.6179
05-07-2022;93.9972
06-07-2022;94.1404
07-07-2022;93.8729
08-07-2022;93.6134
09-07-2022;93.3536
10-07-2022;93.1394
11-07-2022;93.7938
12-07-2022;93.2982
13-07-2022;94.0176
14-07-2022;94.4152
15-07-2022;93.4727
16-07-2022;92.3994
17-07-2022;92.0077
18-07-2022;92.6565
19-07-2022;92.2361
20-07-2022;93.4612
21-07-2022;93.8014
22-07-2022;94.1366
23-07-2022;93.1042
24-07-2022;92.9053
25-07-2022;94.1579
26-07-2022;94.8278
27-07-2022;94.6921
28-07-2022;94.2965
29-07-2022;94.2573
30-07-2022;93.5182
31-07-2022;93.6122
01-08-2022;94.4042
02-08-2022;94.5121
03-08-2022;94.3415
04-08-2022;94.0093
05-08-2022;93.6405
06-08-2022;93.1315
07-08-2022;92.6047
08-08-2022;93.7283
09-08-2022;94.4004
10-08-2022;94.1164
11-08-2022;94.1042
12-08-2022;94.0295
13-08-2022;93.0806
14-08-2022;92.593
15-08-2022;93.6707
16-08-2022;93.5791
17-08-2022;94.4792
18-08-2022;94.8599
19-08-2022;93.8767
20-08-2022;93.0097
21-08-2022;92.9754
22-08-2022;93.9737
23-08-2022;93.7722
24-08-2022;93.7426
25-08-2022;94.0024
26-08-2022;93.5125
27-08-2022;92.3744
28-08-2022;92.4203
29-08-2022;92.5878
30-08-2022;94.299
31-08-2022;94.1049
01-09-2022;94.0123
02-09-2022;93.8991
03-09-2022;92.9963
04-09-2022;92.6639
05-09-2022;93.4573
06-09-2022;93.6494
07-09-2022;94.0814
08-09-2022;94.1215
09-09-2022;94.0163
10-09-2022;92.9022
11-09-2022;92.6544
12-09-2022;93.5581
13-09-2022;93.1548
14-09-2022;93.7851
15-09-2022;94.1609
16-09-2022;94.0409
17-09-2022;93.0162
18-09-2022;92.7667
19-09-2022;93.0422
20-09-2022;93.162
21-09-2022;94.133
22-09-2022;94.3012
23-09-2022;94.295
24-09-2022;93.4128
25-09-2022;93.3695
26-09-2022;94.5504
27-09-2022;94.445
28-09-2022;94.2452
29-09-2022;94.9318
30-09-2022;94.6359
01-10-2022;93.3088
02-10-2022;93.5673
03-10-2022;94.3323
04-10-2022;94.5697
05-10-2022;95.107
06-10-2022;95.2596
07-10-2022;94.8013
08-10-2022;93.8981
09-10-2022;94.138
10-10-2022;94.4212
11-10-2022;94.8094
12-10-2022;94.9591
13-10-2022;95.2063
14-10-2022;95.1585
15-10-2022;93.9122
16-10-2022;94.0559
17-10-2022;93.5554
18-10-2022;94.9887
19-10-2022;94.9448
20-10-2022;94.8999
21-10-2022;94.816
22-10-2022;94.1113
23-10-2022;93.8249
24-10-2022;94.9049
25-10-2022;95.2294
26-10-2022;94.955
27-10-2022;95.0064
28-10-2022;94.6316
29-10-2022;93.3099
30-10-2022;92.8411
31-10-2022;94.0982
01-11-2022;94.1774
02-11-2022;94.2394
03-11-2022;94.6108
04-11-2022;94.4516
05-11-2022;93.7049
06-11-2022;92.9366
07-11-2022;94.2001
08-11-2022;94.4361
09-11-2022;94.3045
10-11-2022;94.3547
11-11-2022;94.3665
12-11-2022;92.9764
13-11-2022;93.3944
14-11-2022;94.3088
15-11-2022;94.4301
16-11-2022;94.2737
17-11-2022;94.4138
18-11-2022;94.1919
19-11-2022;92.9126
20-11-2022;92.5886
21-11-2022;94.1885
22-11-2022;94.6467
23-11-2022;94.9291
24-11-2022;94.7726
25-11-2022;93.9875
26-11-2022;93.3024
27-11-2022;92.5906
28-11-2022;94.6599
29-11-2022;94.8259
